13:49:10.885 [Thread-11] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1} closed
14:19:43.195 [main] INFO  com.buoyantec.App - Starting App on DESKTOP-2EMH2EM with PID 17492 (E:\RCJL\RCJL-Controller\target\classes started by zcl in E:\RCJL)
14:19:43.202 [main] INFO  com.buoyantec.App - No active profile set, falling back to default profiles: default
14:19:44.110 [main] INFO  com.buoyantec.ShiroConfiguration - 初始化defaultAdvisorAutoProxyCreator！

14:19:44.119 [main] INFO  com.buoyantec.ShiroConfiguration - 初始化defaultAdvisorAutoProxyCreator！

14:19:44.150 [main] INFO  com.buoyantec.ShiroConfiguration - 初始化AuthRealm成功!!

14:19:44.895 [main] INFO  com.buoyantec.ShiroConfiguration - 初始化securityManager成功！

14:19:44.921 [main] INFO  com.buoyantec.ShiroConfiguration - 初始化shiroFilterFactoryBean成功

14:19:44.973 [main] INFO  com.buoyantec.ShiroConfiguration - 初始化authorizationAttributeSourceAdvisor成功！

14:19:45.302 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-7777"]
14:19:45.310 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
14:19:45.310 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet Engine: Apache Tomcat/8.5.34
14:19:45.314 [localhost-startStop-1] INFO  org.apache.catalina.core.AprLifecycleListener - The APR based Apache Tomcat Native library which allows optimal performance in production environments was not found on the java.library.path: [C:\Program Files\Java\jdk1.8.0_131\bin;C:\Windows\Sun\Java\bin;C:\Windows\system32;C:\Windows;C:\Program Files (x86)\Common Files\Oracle\Java\javapath;C:\ProgramData\Oracle\Java\javapath;C:\Windows\system32;C:\Windows;C:\Windows\System32\Wbem;C:\Windows\System32\WindowsPowerShell\v1.0\;C:\Windows\System32\OpenSSH\;C:\Program Files\Git\cmd;C:\Program Files\Microsoft SQL Server\120\DTS\Binn\;C:\Program Files\Microsoft SQL Server\Client SDK\ODBC\110\Tools\Binn\;C:\Program Files (x86)\Microsoft SQL Server\120\Tools\Binn\;C:\Program Files\Microsoft SQL Server\120\Tools\Binn\;C:\Program Files (x86)\Microsoft SQL Server\120\Tools\Binn\ManagementStudio\;C:\Program Files (x86)\Microsoft SQL Server\120\DTS\Binn\;C:\Program Files\dotnet\;C:\Program Files\Microsoft SQL Server\130\Tools\Binn\;C:\Program Files\Microsoft SQL Server\Client SDK\ODBC\170\Tools\Binn\;E:\Code\apache-maven-3.6.2\bin;E:\mysql-5.7.27-winx64\bin;C:\Program Files\nodejs\;C:\Users\zcl\AppData\Local\Microsoft\WindowsApps;;C:\Users\zcl\AppData\Local\Programs\Microsoft VS Code\bin;C:\Program Files\JetBrains\IntelliJ IDEA 2019.2.3\bin;;C:\Users\zcl\AppData\Roaming\npm;.]
14:19:45.408 [localhost-startStop-1] INFO  org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
14:19:45.628 [main] INFO  com.buoyantec.JedisConfig - 初始化Redis连接池JedisPool成功! Redis地址: 127.0.0.1:6379
14:19:46.816 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-7777"]
14:19:46.825 [main] INFO  org.apache.tomcat.util.net.NioSelectorPool - Using a shared selector for servlet write/read
14:19:46.840 [main] INFO  com.buoyantec.App - Started App in 3.961 seconds (JVM running for 5.078)
14:19:49.799 [http-nio-7777-exec-1] INFO  org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring FrameworkServlet 'dispatcherServlet'
14:19:49.941 [http-nio-7777-exec-1] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1} inited
14:19:53.087 [Thread-12] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1} closed
14:29:03.567 [main] INFO  com.buoyantec.App - Starting App on DESKTOP-2EMH2EM with PID 20068 (E:\RCJL\RCJL-Controller\target\classes started by zcl in E:\RCJL)
14:29:03.571 [main] INFO  com.buoyantec.App - No active profile set, falling back to default profiles: default
14:29:04.471 [main] INFO  com.buoyantec.ShiroConfiguration - 初始化defaultAdvisorAutoProxyCreator！

14:29:04.480 [main] INFO  com.buoyantec.ShiroConfiguration - 初始化defaultAdvisorAutoProxyCreator！

14:29:04.514 [main] INFO  com.buoyantec.ShiroConfiguration - 初始化AuthRealm成功!!

14:29:05.297 [main] INFO  com.buoyantec.ShiroConfiguration - 初始化securityManager成功！

14:29:05.315 [main] INFO  com.buoyantec.ShiroConfiguration - 初始化shiroFilterFactoryBean成功

14:29:05.367 [main] INFO  com.buoyantec.ShiroConfiguration - 初始化authorizationAttributeSourceAdvisor成功！

14:29:05.705 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-7777"]
14:29:05.715 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
14:29:05.715 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet Engine: Apache Tomcat/8.5.34
14:29:05.720 [localhost-startStop-1] INFO  org.apache.catalina.core.AprLifecycleListener - The APR based Apache Tomcat Native library which allows optimal performance in production environments was not found on the java.library.path: [C:\Program Files\Java\jdk1.8.0_131\bin;C:\Windows\Sun\Java\bin;C:\Windows\system32;C:\Windows;C:\Program Files (x86)\Common Files\Oracle\Java\javapath;C:\ProgramData\Oracle\Java\javapath;C:\Windows\system32;C:\Windows;C:\Windows\System32\Wbem;C:\Windows\System32\WindowsPowerShell\v1.0\;C:\Windows\System32\OpenSSH\;C:\Program Files\Git\cmd;C:\Program Files\Microsoft SQL Server\120\DTS\Binn\;C:\Program Files\Microsoft SQL Server\Client SDK\ODBC\110\Tools\Binn\;C:\Program Files (x86)\Microsoft SQL Server\120\Tools\Binn\;C:\Program Files\Microsoft SQL Server\120\Tools\Binn\;C:\Program Files (x86)\Microsoft SQL Server\120\Tools\Binn\ManagementStudio\;C:\Program Files (x86)\Microsoft SQL Server\120\DTS\Binn\;C:\Program Files\dotnet\;C:\Program Files\Microsoft SQL Server\130\Tools\Binn\;C:\Program Files\Microsoft SQL Server\Client SDK\ODBC\170\Tools\Binn\;E:\Code\apache-maven-3.6.2\bin;E:\mysql-5.7.27-winx64\bin;C:\Program Files\nodejs\;C:\Users\zcl\AppData\Local\Microsoft\WindowsApps;;C:\Users\zcl\AppData\Local\Programs\Microsoft VS Code\bin;C:\Program Files\JetBrains\IntelliJ IDEA 2019.2.3\bin;;C:\Users\zcl\AppData\Roaming\npm;.]
14:29:05.805 [localhost-startStop-1] INFO  org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
14:29:06.025 [main] INFO  com.buoyantec.JedisConfig - 初始化Redis连接池JedisPool成功! Redis地址: 127.0.0.1:6379
14:29:07.115 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-7777"]
14:29:07.124 [main] INFO  org.apache.tomcat.util.net.NioSelectorPool - Using a shared selector for servlet write/read
14:29:07.142 [main] INFO  com.buoyantec.App - Started App in 3.856 seconds (JVM running for 4.91)
14:29:27.907 [http-nio-7777-exec-1] INFO  org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring FrameworkServlet 'dispatcherServlet'
14:30:15.974 [main] INFO  com.buoyantec.App - Starting App on DESKTOP-2EMH2EM with PID 17968 (E:\RCJL\RCJL-Controller\target\classes started by zcl in E:\RCJL)
14:30:15.979 [main] INFO  com.buoyantec.App - No active profile set, falling back to default profiles: default
14:30:16.861 [main] INFO  com.buoyantec.ShiroConfiguration - 初始化defaultAdvisorAutoProxyCreator！

14:30:16.870 [main] INFO  com.buoyantec.ShiroConfiguration - 初始化defaultAdvisorAutoProxyCreator！

14:30:16.902 [main] INFO  com.buoyantec.ShiroConfiguration - 初始化AuthRealm成功!!

14:30:17.678 [main] INFO  com.buoyantec.ShiroConfiguration - 初始化securityManager成功！

14:30:17.696 [main] INFO  com.buoyantec.ShiroConfiguration - 初始化shiroFilterFactoryBean成功

14:30:17.743 [main] INFO  com.buoyantec.ShiroConfiguration - 初始化authorizationAttributeSourceAdvisor成功！

14:30:18.067 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-7777"]
14:30:18.076 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
14:30:18.077 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet Engine: Apache Tomcat/8.5.34
